Muscle,Force Level,ISI mean,ISI SD,ISI CV,FR mean,subject_id,extra,MU_ID
FDI,15,96.98510263480392,12.629434997586433,0.1302203601840006,10.310861903868744,P1,ramp1,0
FDI,15,87.65037334070796,15.08652502022442,0.172121628753151,11.408964524462148,P1,ramp1,1
FDI,15,76.45273134689923,11.90100412464929,0.1556648652701401,13.079977423730828,P1,ramp1,2
FDI,15,79.85997353830645,15.95950994508737,0.1998436668330734,12.521917497509936,P1,ramp1,3
FDI,15,63.18359375,12.44344407068325,0.1969410622624366,15.826893353941264,P1,ramp1,4
FDI,15,75.63439289122137,8.656039400265522,0.1144458105549254,13.221498339230626,P1,ramp1,5
FDI,15,63.96359174679487,8.350424424497033,0.1305496485805999,15.63389379318444,P1,ramp1,6
FDI,15,81.68985666322314,9.820355455699168,0.1202151142972968,12.241421895531383,P1,ramp1,7
FDI,15,83.73195842161017,10.160810170553129,0.12134924779128,11.9428712626637,P1,ramp1,8
FDI,15,75.51959088740458,10.820981423114189,0.1432870768493391,13.24159715709985,P1,ramp1,9
FDI,15,102.02840169270831,19.103532546596725,0.1872373988973503,9.801192446509402,P1,ramp1,10
FDI,15,71.86929744525547,19.327060400846864,0.2689195677134418,13.91414742521622,P1,ramp1,11
FDI,15,131.63151041666666,38.882629894031126,0.2953899850495673,7.596965170684419,P1,ramp1,12
FDI,15,85.16710069444444,16.285780805650965,0.1912215007069426,11.74162313670531,P1,ramp1,13
FDI,15,99.83132102272728,15.074259728928505,0.1509972979872393,10.016896398399288,P1,ramp2,0
FDI,15,93.47822081367924,18.00222625648096,0.192582037824222,10.697679002611736,P1,ramp2,1
FDI,15,83.97609904661017,13.82294752959143,0.1646057352809294,11.908150192175029,P1,ramp2,2
FDI,15,81.59499871926229,15.072038835681616,0.1847176796648877,12.255653112277432,P1,ramp2,3
FDI,15,77.20672843992249,17.764193968646868,0.230086086117091,12.95223901085432,P1,ramp2,4
FDI,15,81.97959710743801,9.702506588832827,0.1183526991004511,12.198157044971255,P1,ramp2,5
FDI,15,71.8360790307971,11.076001785364658,0.1541843866591915,13.920581600386164,P1,ramp2,6
FDI,15,88.9991554054054,13.310173639920352,0.149553932049022,11.236061684460262,P1,ramp2,7
FDI,15,90.33203125,12.959819479404576,0.143468704290922,11.07027027027027,P1,ramp2,8
FDI,15,77.47268676757812,12.784850753808549,0.1650239753806877,12.907774878132848,P1,ramp2,9
FDI,15,119.4347703313253,34.46790061648282,0.288591844074092,8.372771155551177,P1,ramp2,10
FDI,15,120.23628048780488,22.432366928958277,0.1865690358845848,8.316957210776545,P1,ramp2,12
FDI,15,93.33634286556604,21.876945365037283,0.2343882853493309,10.71394024340891,P1,ramp2,13
FDI,15,69.37418050699301,8.062742642290816,0.1162210866257091,14.414584686866297,P1,ramp3,0
FDI,15,62.777613993710695,8.418483377681774,0.1341000850800919,15.929245098422886,P1,ramp3,1
FDI,15,115.73759191176472,23.781746061020318,0.205479876228554,8.640235065218684,P1,ramp3,2
FDI,15,83.27534138655462,10.49667422558862,0.1260478078002017,12.008356655760966,P1,ramp3,3
FDI,15,65.27035361842105,11.624485513330832,0.1780974802325889,15.320891408772344,P1,ramp3,4
FDI,15,57.4907424132948,8.439027203873737,0.1467893238046305,17.39410482493176,P1,ramp3,5
FDI,15,72.00379302536231,6.812915252711,0.0946188383480193,13.888157248157247,P1,ramp3,6
FDI,15,79.41422001008064,9.552058307745,0.1202814597503128,12.592203258724474,P1,ramp3,7
FDI,15,83.89830508474576,12.178523533077591,0.145158159283147,11.919191919191922,P1,ramp3,8
FDI,15,66.23111979166667,9.19688149282834,0.1388604257599387,15.0986424983535,P1,ramp3,9
FDI,15,61.73452057453416,7.750331722521295,0.1255429158660762,16.19839257992886,P1,ramp3,10
FDI,15,75.11023319128788,10.06900974228451,0.1340564303220992,13.313765082491996,P1,ramp3,12
FDI,15,76.79311899038461,8.67040962192544,0.1129060746056046,13.022000058692909,P1,ramp3,13
FDI,15,67.58078231292517,10.965306393332034,0.1622548011142934,14.797106008178671,P1,ramp3,14
FDI,15,91.4985306766055,13.923344797639915,0.1521701462819212,10.929137250678076,P1,ramp3,15
